ID,DSC,ORDER,KM,CCW,CW,CCW_BRANCH,CW_BRANCH,CHENG_ZHUI_CCW,CHENG_ZHUI_CW,CCW_KM,CW_KM,CCW_BRANCH_KM,CW_BRANCH_KM,CHENG_ZHUI_CCW_KM,CHENG_ZHUI_CW_KM
0900,基隆,0,0,0910,,,,,,1.3,0,,,,
0910,三坑,1,1.3,0920,0900,,,,,2.4,1.3,,,,
0920,八堵,2,3.7,0930,0910,,7390,,,2.3,2.4,,1.6,,
0930,七堵,3,6,0940,0920,,,,,2.7,2.3,,,,
0940,百福,4,8.7,0950,0930,,,,,3,2.7,,,,
0950,五堵,5,11.7,0960,0940,,,,,1.4,3,,,,
0960,汐止,6,13.1,0970,0950,,,,,1.5,1.4,,,,
0970,汐科,7,14.6,0980,0960,,,,,4.5,1.5,,,,
0980,南港,8,19.1,0990,0970,,,,,2.8,4.5,,,,
0990,松山,9,21.9,1000,0980,,,1000,0980,6.4,2.8,,,6.4,2.8
1000,臺北,10,28.3,1010,0990,,,1010,0990,2.8,6.4,,,2.8,6.4
1010,萬華,11,31.1,1020,1000,,,1020,1000,4.4,2.8,,,4.4,2.8
1020,板橋,12,35.5,1030,1010,,,1030,1010,2.5,4.4,,,2.5,4.4
1030,浮洲,13,38,1040,1020,,,1040,1020,2.9,2.5,,,2.9,2.5
1040,樹林,14,40.9,1050,1030,,,1050,1030,2,2.9,,,2,2.9
1050,南樹林,15,42.9,1060,1040,,,1060,1040,1.9,2,,,1.9,2
1060,山佳,16,44.8,1070,1050,,,1070,1050,4.4,1.9,,,4.4,1.9
1070,鶯歌,17,49.2,1075,1060,,,1075,1060,5,4.4,,,5,4.4
1075,鳳鳴,18,52.4,1080,1070,,,1080,1070,3.2,5,,,3.2,5
1080,桃園,19,57.4,1090,1075,,,1090,1075,5.9,3.2,,,5.9,3.2
1090,內壢,20,63.3,1100,1080,,,1100,1080,4,5.9,,,4,5.9
1100,中壢,21,67.3,1110,1090,,,1110,1090,5.8,4,,,5.8,4
1110,埔心,22,73.1,1120,1100,,,1120,1100,4,5.8,,,4,5.8
1120,楊梅,23,77.1,1130,1110,,,1130,1110,6.8,4,,,6.8,4
1130,富岡,24,83.9,1140,1120,,,1140,1120,1.6,6.8,,,1.6,6.8
1140,新富,25,85.5,1150,1130,,,1150,1130,1.6,1.6,,,1.6,1.6
1150,北湖,26,87.1,1160,1140,,,1160,1140,2.5,1.6,,,2.5,1.6
1160,湖口,27,89.6,1170,1150,,,1170,1150,6.2,2.5,,,6.2,2.5
1170,新豐,28,95.8,1180,1160,,,1180,1160,5,6.2,,,5,6.2
1180,竹北,29,100.8,1190,1170,,,1190,1170,4.2,5,,,4.2,5
1190,北新竹,30,105,1210,1180,,1191,1210,1180,1.4,4.2,,2.2,1.4,4.2
1210,新竹,31,106.4,1220,1190,,,1220,1190,4.8,1.4,,,4.8,1.4
