time,ax,ax1
06:12:00,372,744
06:12:30,372.5,745
06:13:00,373,746
06:13:30,373.5,747
06:14:00,374,748
06:14:30,374.5,749
06:15:00,375,750
06:15:30,375.5,751
06:16:00,376,752
06:16:30,376.5,753
06:17:00,377,754
06:17:30,377.5,755
06:18:00,378,756
06:18:30,378.5,757
06:19:00,379,758
06:19:30,379.5,759
06:20:00,380,760
06:20:30,380.5,761
06:21:00,381,762
06:21:30,381.5,763
06:22:00,382,764
06:22:30,382.5,765
06:23:00,383,766
06:23:30,383.5,767
06:24:00,384,768
06:24:30,384.5,769
06:25:00,385,770
06:25:30,385.5,771
06:26:00,386,772
06:26:30,386.5,773
06:27:00,387,774
06:27:30,387.5,775
06:28:00,388,776
06:28:30,388.5,777
06:29:00,389,778
06:29:30,389.5,779
06:30:00,390,780
06:30:30,390.5,781
06:31:00,391,782
06:31:30,391.5,783
06:32:00,392,784
06:32:30,392.5,785
06:33:00,393,786
06:33:30,393.5,787
06:34:00,394,788
06:34:30,394.5,789
06:35:00,395,790
06:35:30,395.5,791
06:36:00,396,792
06:36:30,396.5,793
06:37:00,397,794
06:37:30,397.5,795
06:38:00,398,796
06:38:30,398.5,797
06:39:00,399,798
06:39:30,399.5,799
06:40:00,400,800
06:40:30,400.5,801
06:41:00,401,802
06:41:30,401.5,803
06:42:00,402,804
06:42:30,402.5,805
06:43:00,403,806
06:43:30,403.5,807
06:44:00,404,808
06:44:30,404.5,809
06:45:00,405,810
06:45:30,405.5,811
06:46:00,406,812
06:46:30,406.5,813
06:47:00,407,814
06:47:30,407.5,815
06:48:00,408,816
06:48:30,408.5,817
06:49:00,409,818
06:49:30,409.5,819
06:50:00,410,820
06:50:30,410.5,821
06:51:00,411,822
06:51:30,411.5,823
06:52:00,412,824
06:52:30,412.5,825
06:53:00,413,826
06:53:30,413.5,827
06:54:00,414,828
06:54:30,414.5,829
06:55:00,415,830
06:55:30,415.5,831
06:56:00,416,832
06:56:30,416.5,833
06:57:00,417,834
06:57:30,417.5,835
06:58:00,418,836
06:58:30,418.5,837
06:59:00,419,838
06:59:30,419.5,839
07:00:00,420,840
07:00:30,420.5,841
07:01:00,421,842
07:01:30,421.5,843
07:02:00,422,844
07:02:30,422.5,845
07:03:00,423,846
07:03:30,423.5,847
07:04:00,424,848
07:04:30,424.5,849
07:05:00,425,850
07:05:30,425.5,851
07:06:00,426,852
07:06:30,426.5,853
07:07:00,427,854
07:07:30,427.5,855
07:08:00,428,856
07:08:30,428.5,857
07:09:00,429,858
07:09:30,429.5,859
07:10:00,430,860
07:10:30,430.5,861
07:11:00,431,862
07:11:30,431.5,863
07:12:00,432,864
07:12:30,432.5,865
07:13:00,433,866
07:13:30,433.5,867
07:14:00,434,868
07:14:30,434.5,869
07:15:00,435,870
07:15:30,435.5,871
07:16:00,436,872
07:16:30,436.5,873
07:17:00,437,874
07:17:30,437.5,875
07:18:00,438,876
07:18:30,438.5,877
07:19:00,439,878
07:19:30,439.5,879
07:20:00,440,880
07:20:30,440.5,881
07:21:00,441,882
07:21:30,441.5,883
07:22:00,442,884
07:22:30,442.5,885
07:23:00,443,886
07:23:30,443.5,887
07:24:00,444,888
07:24:30,444.5,889
07:25:00,445,890
07:25:30,445.5,891
07:26:00,446,892
07:26:30,446.5,893
07:27:00,447,894
07:27:30,447.5,895
07:28:00,448,896
07:28:30,448.5,897
07:29:00,449,898
07:29:30,449.5,899
07:30:00,450,900
07:30:30,450.5,901
07:31:00,451,902
07:31:30,451.5,903
07:32:00,452,904
07:32:30,452.5,905
07:33:00,453,906
07:33:30,453.5,907
07:34:00,454,908
